Date	Route	Rating	Notes	URL	Pitches	Location	Avg Stars	Your Stars	Style	Lead Style	Route Type	Your Rating
2017-09-30	Sixish	5.5 4b 13 IV+ 11 MS 4a		https://www.mountainproject.com/v/sixish/105968658	3	New York : The Gunks : The Trapps : c. Frog's Head - the Arch	2.8	-1	Lead	Onsight	Trad	
2017-09-30	Black Fly	5.5 4b 13 IV+ 11 MS 4a		https://www.mountainproject.com/v/black-fly/106803063	1	New York : The Gunks : The Trapps : a1. The Uberfall - left	2.0	-1	Lead	Redpoint	Trad	
2017-09-30	Easy Overhang	5.2 3 8 II 8 D 2c		https://www.mountainproject.com/v/easy-overhang/106034654	2	New York : The Gunks : The Trapps : c. Frog's Head - the Arch	2.8	-1	Lead	Redpoint	Trad	
2017-09-30	Dennis	5.5 4b 13 IV+ 11 MS 4a		https://www.mountainproject.com/v/dennis/105968655	2	New York : The Gunks : The Trapps : b. Jackie and friends	2.4	-1	Lead	Redpoint	Trad	
2017-09-25	Classic	5.7 5a 15 V+ 13 MVS 4b	Led p1, followed p2	https://www.mountainproject.com/v/classic/105812947	2	New York : The Gunks : The Trapps : b. Jackie and friends	3.0	-1	Lead	Redpoint	Trad	
2017-09-23	Bloody Bush	5.6 4c 14 V 12 S 4b	Lead pitch 2, followed pitch 1	https://www.mountainproject.com/v/bloody-bush/106281218	2	New York : The Gunks : The Trapps : c. Frog's Head - the Arch	2.6	-1	Lead	Onsight	Trad	
2017-09-23	Baby	5.6 4c 14 V 12 S 4b	Small fall in p1 crux. Followed p2	https://www.mountainproject.com/v/baby/105799782	2	New York : The Gunks : The Trapps : c. Frog's Head - the Arch	3.0	-1	Lead	Fell/Hung	Trad	
2017-09-21	The Lorax	V3+ 6A+		https://www.mountainproject.com/v/the-lorax/106515862	1	New York : The Gunks : Trapps Bouldering : Steel Bridge Boulders	3.1	-1			Boulder	
2017-09-09	Double Chin	5.5 4b 13 IV+ 11 MS 4a		https://www.mountainproject.com/v/double-chin/106133896	1	New York : The Gunks : The Trapps : a1. The Uberfall - left	2.5	-1	Lead	Onsight	Trad	
2017-09-09	Classic	5.7 5a 15 V+ 13 MVS 4b		https://www.mountainproject.com/v/classic/105812947	2	New York : The Gunks : The Trapps : b. Jackie and friends	3.0	-1	Follow		Trad	
2017-09-09	Strictly From Nowhere	5.7 5a 15 V+ 13 MVS 4b		https://www.mountainproject.com/v/strictly-from-nowhere/105799704	1	New York : The Gunks : The Trapps : d. Strictly - Shockley's	3.3	-1	Lead	Onsight	Trad	
2017-09-03	Captain Blonde Sinks The Ship	5.11- 6c 22 VIII+ 22 E3 5c		https://www.mountainproject.com/v/captain-blonde-sinks-the-ship/106603108	1	Kentucky : Red River Gorge : Muir Valley : The Boneyard	2.8	-1			Sport	
2017-09-03	Gettin' Lucky in Kentucky	5.10b 6a+ 19 VII- 19 E2 5b		https://www.mountainproject.com/v/gettin-lucky-in-kentucky/106065461	1	Kentucky : Red River Gorge : Muir Valley : Tectonic Wall	3.4	-1	Lead		Sport	
2017-09-03	Plate Tectonics	5.9+ 5c 17 VI 17 E1 5a		https://www.mountainproject.com/v/plate-tectonics/106065471	1	Kentucky : Red River Gorge : Muir Valley : Tectonic Wall	3.3	-1	Lead	Flash	Sport	
2017-09-03	Fifth Bolt Faith	5.10c 6b 20 VII 20 E2 5b		https://www.mountainproject.com/v/fifth-bolt-faith/106170048	1	Kentucky : Red River Gorge : Muir Valley : Tectonic Wall	2.9	-1	Lead	Flash	Sport	
2017-09-03	59" DrillBitch	5.10a 6a 18 VI+ 18 E1 5a		https://www.mountainproject.com/v/59-drillbitch/106614611	1	Kentucky : Red River Gorge : Muir Valley : Johnny's Wall	2.9	-1	Lead	Flash	Sport	
